2023-12-25 05:05:33.163 [info] Log level: Info
2023-12-25 05:05:33.163 [info] Validating found git in: "git"
2023-12-25 05:05:33.163 [info] Using git "2.34.1" from "git"
2023-12-25 05:05:33.163 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 05:05:33.163 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 05:05:33.163 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 05:05:33.163 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 05:05:33.163 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 05:05:33.163 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 05:05:33.163 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 05:05:33.163 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 05:05:33.163 [info] > git rev-parse --show-toplevel [0ms]
2023-12-25 05:05:33.163 [info] > git rev-parse --show-toplevel [9ms]
2023-12-25 05:05:33.163 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 05:05:33.165 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 05:05:33.170 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 05:05:33.178 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 05:05:33.189 [info] > git rev-parse --show-toplevel [3ms]
2023-12-25 05:05:33.199 [info] > git rev-parse --show-toplevel [3ms]
2023-12-25 05:05:33.206 [info] > git rev-parse --show-toplevel [4ms]
2023-12-25 05:05:33.219 [info] > git rev-parse --show-toplevel [3ms]
2023-12-25 05:05:33.233 [info] > git rev-parse --show-toplevel [8ms]
2023-12-25 05:05:33.323 [info] > git rev-parse --show-toplevel [76ms]
2023-12-25 05:05:33.372 [info] > git rev-parse --show-toplevel [3ms]
2023-12-25 05:05:33.389 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 05:05:33.396 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 05:05:33.405 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 05:05:33.419 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 05:05:33.425 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 05:05:33.430 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 05:05:33.435 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 05:05:33.442 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 05:05:33.452 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 05:05:33.997 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 05:05:34.041 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 05:05:34.252 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 05:05:34.386 [info] > git rev-parse --show-toplevel [1ms]
2023-12-25 05:05:34.402 [info] > git rev-parse --show-toplevel [2ms]
2023-12-25 06:33:10.200 [info] > git rev-parse --show-toplevel [5ms]
