2024-01-12 21:11:27.257 [info] Log level: Info
2024-01-12 21:11:27.257 [info] Validating found git in: "git"
2024-01-12 21:11:27.257 [info] Using git "2.34.1" from "git"
2024-01-12 21:11:27.257 [info] > git rev-parse --show-toplevel [1ms]
2024-01-12 21:11:27.257 [info] > git rev-parse --show-toplevel [2ms]
2024-01-12 21:11:27.257 [info] > git rev-parse --show-toplevel [7ms]
2024-01-12 21:11:27.257 [info] > git rev-parse --show-toplevel [1ms]
2024-01-12 21:11:27.257 [info] > git rev-parse --show-toplevel [4ms]
2024-01-12 21:11:27.257 [info] > git rev-parse --show-toplevel [4ms]
2024-01-12 21:11:27.257 [info] > git rev-parse --show-toplevel [1ms]
2024-01-12 21:11:27.257 [info] > git rev-parse --show-toplevel [6ms]
2024-01-12 21:11:27.257 [info] > git rev-parse --show-toplevel [2ms]
2024-01-12 21:11:27.257 [info] > git rev-parse --show-toplevel [4ms]
2024-01-12 21:11:27.257 [info] > git rev-parse --show-toplevel [4ms]
2024-01-12 21:11:27.265 [info] > git rev-parse --show-toplevel [1ms]
2024-01-12 21:11:27.276 [info] > git rev-parse --show-toplevel [2ms]
2024-01-12 21:11:27.290 [info] > git rev-parse --show-toplevel [3ms]
2024-01-12 21:11:27.299 [info] > git rev-parse --show-toplevel [0ms]
2024-01-12 21:11:27.304 [info] > git rev-parse --show-toplevel [1ms]
2024-01-12 21:11:27.309 [info] > git rev-parse --show-toplevel [1ms]
2024-01-12 21:11:27.403 [info] > git rev-parse --show-toplevel [84ms]
2024-01-12 21:11:27.474 [info] > git rev-parse --show-toplevel [2ms]
2024-01-12 21:11:27.492 [info] > git rev-parse --show-toplevel [1ms]
2024-01-12 21:11:27.509 [info] > git rev-parse --show-toplevel [1ms]
2024-01-12 21:11:27.522 [info] > git rev-parse --show-toplevel [1ms]
2024-01-12 21:11:27.544 [info] > git rev-parse --show-toplevel [1ms]
2024-01-12 21:11:27.566 [info] > git rev-parse --show-toplevel [3ms]
2024-01-12 21:11:27.574 [info] > git rev-parse --show-toplevel [1ms]
2024-01-12 21:11:27.584 [info] > git rev-parse --show-toplevel [2ms]
2024-01-12 21:11:27.590 [info] > git rev-parse --show-toplevel [1ms]
2024-01-12 21:11:27.601 [info] > git rev-parse --show-toplevel [1ms]
2024-01-12 21:11:27.608 [info] > git rev-parse --show-toplevel [1ms]
2024-01-12 21:11:27.618 [info] > git rev-parse --show-toplevel [1ms]
