2023-12-23 17:09:02.369 [info] Log level: Info
2023-12-23 17:09:02.369 [info] Validating found git in: "git"
2023-12-23 17:09:02.369 [info] Using git "2.34.1" from "git"
2023-12-23 17:09:02.369 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 17:09:02.373 [info] > git rev-parse --show-toplevel [5ms]
2023-12-23 17:09:02.383 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:09:02.395 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 17:09:02.408 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:09:02.413 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:09:02.420 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 17:09:02.426 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:09:02.432 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:09:02.442 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 17:09:02.457 [info] > git rev-parse --show-toplevel [4ms]
2023-12-23 17:09:02.473 [info] > git rev-parse --show-toplevel [8ms]
2023-12-23 17:09:02.482 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:09:02.489 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:09:02.497 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:09:02.505 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:09:02.512 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 17:09:02.521 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:09:02.531 [info] > git rev-parse --show-toplevel [5ms]
2023-12-23 17:09:02.615 [info] > git rev-parse --show-toplevel [78ms]
2023-12-23 17:09:02.703 [info] > git rev-parse --show-toplevel [15ms]
2023-12-23 17:09:02.731 [info] > git rev-parse --show-toplevel [13ms]
2023-12-23 17:09:02.743 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 17:09:02.752 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:09:02.767 [info] > git rev-parse --show-toplevel [4ms]
2023-12-23 17:09:02.778 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 17:09:02.790 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:09:02.799 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:09:02.818 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:09:02.835 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 17:09:02.847 [info] > git rev-parse --show-toplevel [3ms]
2023-12-23 17:09:02.956 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 17:09:03.136 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 17:16:23.335 [info] > git rev-parse --show-toplevel [3ms]
2023-12-23 17:18:51.678 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:20:46.031 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 17:20:54.178 [info] > git rev-parse --show-toplevel [3ms]
2023-12-23 17:23:47.137 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:31:19.273 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:31:23.411 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 17:31:25.422 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:35:22.284 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:41:42.073 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:43:55.630 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:43:56.442 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 17:45:28.070 [info] > git rev-parse --show-toplevel [2ms]
2023-12-23 17:45:36.538 [info] > git rev-parse --show-toplevel [1ms]
2023-12-23 17:45:44.897 [info] > git rev-parse --show-toplevel [1ms]
