2024-01-17 23:10:02.196 [info] Log level: Info
2024-01-17 23:10:02.196 [info] Validating found git in: "git"
2024-01-17 23:10:02.196 [info] Using git "2.34.1" from "git"
2024-01-17 23:10:02.196 [info] > git rev-parse --show-toplevel [7ms]
2024-01-17 23:10:02.204 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 23:10:02.209 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 23:10:02.216 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 23:10:02.224 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 23:10:02.235 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 23:10:02.239 [info] > git rev-parse --show-toplevel [0ms]
2024-01-17 23:10:02.244 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 23:10:02.259 [info] > git rev-parse --show-toplevel [10ms]
2024-01-17 23:10:02.270 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 23:10:02.285 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 23:10:02.381 [info] > git rev-parse --show-toplevel [90ms]
2024-01-17 23:10:02.417 [info] > git rev-parse --show-toplevel [24ms]
2024-01-17 23:10:02.453 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 23:10:02.462 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 23:10:02.473 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 23:10:02.487 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 23:10:02.496 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 23:10:02.505 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 23:10:02.524 [info] > git rev-parse --show-toplevel [8ms]
2024-01-17 23:10:02.532 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 23:10:02.546 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 23:10:02.554 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 23:10:02.566 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 23:10:02.572 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 23:10:02.578 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 23:10:02.584 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 23:10:02.597 [info] > git rev-parse --show-toplevel [7ms]
2024-01-17 23:10:02.607 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 23:10:02.620 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 23:10:02.628 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 23:10:02.817 [info] > git rev-parse --show-toplevel [8ms]
2024-01-17 23:10:02.890 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 23:10:02.977 [info] > git rev-parse --show-toplevel [5ms]
2024-01-17 23:10:03.142 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 23:10:42.747 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 00:36:25.155 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 00:43:14.911 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 00:43:24.380 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 01:20:10.650 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 01:28:32.718 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 02:36:37.633 [info] > git rev-parse --show-toplevel [9ms]
