2024-01-19 09:49:35.535 [info] Log level: Info
2024-01-19 09:49:35.535 [info] Validating found git in: "git"
2024-01-19 09:49:35.535 [info] Using git "2.34.1" from "git"
2024-01-19 09:49:35.535 [info] > git rev-parse --show-toplevel [11ms]
2024-01-19 09:49:35.535 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 09:49:35.535 [info] > git rev-parse --show-toplevel [4ms]
2024-01-19 09:49:35.535 [info] > git rev-parse --show-toplevel [4ms]
2024-01-19 09:49:35.542 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:49:35.552 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 09:49:35.566 [info] > git rev-parse --show-toplevel [5ms]
2024-01-19 09:49:35.589 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 09:49:35.597 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 09:49:35.747 [info] > git rev-parse --show-toplevel [144ms]
2024-01-19 09:49:35.772 [info] > git rev-parse --show-toplevel [11ms]
2024-01-19 09:49:35.837 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:49:35.844 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:49:35.849 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:49:35.855 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 09:49:35.862 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:49:35.867 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:49:35.875 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:49:35.884 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 09:49:35.892 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:49:35.900 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 09:49:35.915 [info] > git rev-parse --show-toplevel [3ms]
2024-01-19 09:49:35.932 [info] > git rev-parse --show-toplevel [4ms]
2024-01-19 09:49:35.953 [info] > git rev-parse --show-toplevel [3ms]
2024-01-19 09:49:35.961 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 09:49:35.974 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 09:49:35.982 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 09:49:35.988 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:49:35.995 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:49:36.337 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:49:36.408 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 09:49:36.461 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 09:49:36.904 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 09:49:37.110 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:49:37.294 [info] > git rev-parse --show-toplevel [3ms]
2024-01-19 09:49:53.126 [info] > git rev-parse --show-toplevel [3ms]
2024-01-19 09:49:59.865 [info] > git rev-parse --show-toplevel [12ms]
2024-01-19 09:51:06.959 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:55:13.384 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:55:51.203 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:56:10.074 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 09:57:56.308 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:58:07.342 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 09:58:22.674 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 10:05:54.513 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 10:18:46.919 [info] > git rev-parse --show-toplevel [16ms]
2024-01-19 10:21:45.936 [info] > git rev-parse --show-toplevel [3ms]
2024-01-19 10:21:49.157 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 10:41:22.034 [info] > git rev-parse --show-toplevel [8ms]
2024-01-19 10:41:51.708 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 10:41:54.652 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 10:42:04.718 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 10:42:12.991 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 11:06:23.170 [info] > git rev-parse --show-toplevel [5ms]
2024-01-19 11:06:48.698 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 11:19:33.765 [info] > git rev-parse --show-toplevel [4ms]
2024-01-19 11:22:27.225 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 11:24:57.082 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 11:25:03.989 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 11:32:10.057 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 11:32:14.963 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 11:33:11.217 [info] > git rev-parse --show-toplevel [3ms]
2024-01-19 11:33:23.855 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 11:46:16.697 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 12:01:04.192 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 12:01:06.263 [info] > git rev-parse --show-toplevel [1ms]
