2024-01-18 20:03:53.391 [info] Log level: Info
2024-01-18 20:03:53.391 [info] Validating found git in: "git"
2024-01-18 20:03:53.391 [info] Using git "2.34.1" from "git"
2024-01-18 20:03:53.391 [info] > git rev-parse --show-toplevel [23ms]
2024-01-18 20:03:53.391 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:03:53.398 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:03:53.539 [info] > git rev-parse --show-toplevel [135ms]
2024-01-18 20:03:53.634 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:03:53.658 [info] > git rev-parse --show-toplevel [7ms]
2024-01-18 20:03:53.671 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:03:53.676 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:03:53.683 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:03:53.689 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:03:53.699 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 20:03:53.711 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:03:53.720 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:03:53.735 [info] > git rev-parse --show-toplevel [8ms]
2024-01-18 20:03:53.758 [info] > git rev-parse --show-toplevel [9ms]
2024-01-18 20:03:53.771 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 20:03:53.781 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:03:53.787 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:03:53.796 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:03:53.805 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:03:53.812 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:03:53.819 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:03:53.824 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:03:53.830 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:03:53.838 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:03:53.844 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:03:53.851 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:03:53.857 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:03:53.868 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:03:53.888 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:03:53.906 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:03:53.914 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:03:54.058 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 20:23:02.336 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 20:23:09.799 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:23:55.904 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 20:28:08.078 [info] > git rev-parse --show-toplevel [6ms]
2024-01-18 20:50:29.772 [info] > git rev-parse --show-toplevel [1ms]
