2024-01-19 00:31:37.642 [info] Log level: Info
2024-01-19 00:31:37.642 [info] Validating found git in: "git"
2024-01-19 00:31:37.642 [info] Using git "2.34.1" from "git"
2024-01-19 00:31:37.642 [info] > git rev-parse --show-toplevel [5ms]
2024-01-19 00:31:37.642 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 00:31:37.656 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 00:31:37.668 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 00:31:37.680 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 00:31:37.693 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 00:31:37.713 [info] > git rev-parse --show-toplevel [8ms]
2024-01-19 00:31:37.727 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 00:31:37.739 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 00:31:37.750 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 00:31:37.760 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 00:31:37.770 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 00:31:37.785 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 00:31:37.792 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 00:31:37.890 [info] > git rev-parse --show-toplevel [86ms]
2024-01-19 00:31:37.898 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 00:31:37.906 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 00:31:37.915 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 00:31:37.923 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 00:31:37.937 [info] > git rev-parse --show-toplevel [5ms]
2024-01-19 00:31:38.016 [info] > git rev-parse --show-toplevel [59ms]
2024-01-19 00:31:38.027 [info] > git rev-parse --show-toplevel [4ms]
2024-01-19 00:31:38.041 [info] > git rev-parse --show-toplevel [5ms]
2024-01-19 00:31:38.069 [info] > git rev-parse --show-toplevel [3ms]
2024-01-19 00:31:38.079 [info] > git rev-parse --show-toplevel [4ms]
2024-01-19 00:31:38.089 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 00:31:38.104 [info] > git rev-parse --show-toplevel [3ms]
2024-01-19 00:31:38.116 [info] > git rev-parse --show-toplevel [4ms]
2024-01-19 00:31:38.137 [info] > git rev-parse --show-toplevel [4ms]
2024-01-19 00:31:38.393 [info] > git rev-parse --show-toplevel [18ms]
2024-01-19 00:31:38.403 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 00:31:38.516 [info] > git rev-parse --show-toplevel [9ms]
2024-01-19 00:31:38.891 [info] > git rev-parse --show-toplevel [10ms]
2024-01-19 00:31:39.148 [info] > git rev-parse --show-toplevel [5ms]
2024-01-19 02:05:08.153 [info] > git rev-parse --show-toplevel [4ms]
2024-01-19 02:08:47.411 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 02:14:26.026 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 02:34:22.807 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 02:35:30.177 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 02:47:31.325 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 02:50:54.308 [info] > git rev-parse --show-toplevel [1ms]
2024-01-19 02:51:01.076 [info] > git rev-parse --show-toplevel [2ms]
2024-01-19 03:07:54.394 [info] > git rev-parse --show-toplevel [1ms]
